year,author,title,average_rating,image_url,text
2009,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg,"Catching Fire (The Hunger Games, #2) Suzanne Collins"
1999,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,https://images.gr-assets.com/books/1499277281m/5.jpg,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) J.K. Rowling, Mary GrandPré, Rufus Beck"
1954,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,https://images.gr-assets.com/books/1298411339m/34.jpg,"The Fellowship of the Ring (The Lord of the Rings, #1) J.R.R. Tolkien"
2010,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg,"Mockingjay (The Hunger Games, #3) Suzanne Collins"
2003,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,https://images.gr-assets.com/books/1387141547m/2.jpg,"Harry Potter and the Order of the Phoenix (Harry Potter, #5) J.K. Rowling, Mary GrandPré"
2002,Alice Sebold,The Lovely Bones,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg,The Lovely Bones Alice Sebold
1998,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg,"Harry Potter and the Chamber of Secrets (Harry Potter, #2) J.K. Rowling, Mary GrandPré"
2000,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,https://images.gr-assets.com/books/1361482611m/6.jpg,"Harry Potter and the Goblet of Fire (Harry Potter, #4) J.K. Rowling, Mary GrandPré"
2007,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg,"Harry Potter and the Deathly Hallows (Harry Potter, #7) J.K. Rowling, Mary GrandPré"
2003,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",3.79,https://images.gr-assets.com/books/1303252999m/968.jpg,"The Da Vinci Code (Robert Langdon, #2) Dan Brown"
2005,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,https://images.gr-assets.com/books/1361039191m/1.jpg,"Harry Potter and the Half-Blood Prince (Harry Potter, #6) J.K. Rowling, Mary GrandPré"
1954,William Golding,Lord of the Flies,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg,Lord of the Flies William Golding
1595,"William Shakespeare, Robert           Jackson",Romeo and Juliet,3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg,"Romeo and Juliet William Shakespeare, Robert           Jackson"
2012,Gillian Flynn,Gone Girl,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg,Gone Girl Gillian Flynn
2009,Kathryn Stockett,The Help,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg,The Help Kathryn Stockett
1937,John Steinbeck,Of Mice and Men,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg,Of Mice and Men John Steinbeck
1997,Arthur Golden,Memoirs of a Geisha,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Memoirs of a Geisha Arthur Golden
2011,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg,"Fifty Shades of Grey (Fifty Shades, #1) E.L. James"
1988,"Paulo Coelho, Alan R. Clarke",The Alchemist,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg,"The Alchemist Paulo Coelho, Alan R. Clarke"
1993,Lois Lowry,"The Giver (The Giver, #1)",4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg,"The Giver (The Giver, #1) Lois Lowry"
1950,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1) C.S. Lewis"
2003,Audrey Niffenegger,The Time Traveler's Wife,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg,The Time Traveler's Wife Audrey Niffenegger
1996,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg,"A Game of Thrones (A Song of Ice and Fire, #1) George R.R. Martin"
2006,Elizabeth Gilbert,"Eat, Pray, Love",3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg,"Eat, Pray, Love Elizabeth Gilbert"
2005,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg,"The Lightning Thief (Percy Jackson and the Olympians, #1) Rick Riordan"
1868,Louisa May Alcott,"Little Women (Little Women, #1)",4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Little Women (Little Women, #1) Louisa May Alcott"
1847,"Charlotte Brontë, Michael Mason",Jane Eyre,4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg,"Jane Eyre Charlotte Brontë, Michael Mason"
1996,Nicholas Sparks,"The Notebook (The Notebook, #1)",4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg,"The Notebook (The Notebook, #1) Nicholas Sparks"
2001,Yann Martel,Life of Pi,3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg,Life of Pi Yann Martel
2006,Sara Gruen,Water for Elephants,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg,Water for Elephants Sara Gruen
2005,Markus Zusak,The Book Thief,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg,The Book Thief Markus Zusak
1953,Ray Bradbury,Fahrenheit 451,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg,Fahrenheit 451 Ray Bradbury
2006,Stephenie Meyer,"New Moon (Twilight, #2)",3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg,"New Moon (Twilight, #2) Stephenie Meyer"
1974,Shel Silverstein,Where the Sidewalk Ends,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg,Where the Sidewalk Ends Shel Silverstein
2007,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg,"City of Bones (The Mortal Instruments, #1) Cassandra Clare"
2007,Stephenie Meyer,"Eclipse (Twilight, #3)",3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg,"Eclipse (Twilight, #3) Stephenie Meyer"
2002,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg,"Eragon (The Inheritance Cycle, #1) Christopher Paolini"
1979,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,https://images.gr-assets.com/books/1327656754m/11.jpg,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1) Douglas Adams"
1932,Aldous Huxley,Brave New World,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg,Brave New World Aldous Huxley
2008,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg,"Breaking Dawn (Twilight, #4) Stephenie Meyer"
2001,Sue Monk Kidd,The Secret Life of Bees,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg,The Secret Life of Bees Sue Monk Kidd
1884,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg,"The Adventures of Huckleberry Finn Mark Twain, John Seelye, Guy Cardwell"
1952,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg,"Charlotte's Web E.B. White, Garth Williams, Rosemary Wells"
2003,Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg,The Curious Incident of the Dog in the Night-Time Mark Haddon
2015,Paula Hawkins,The Girl on the Train,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg,The Girl on the Train Paula Hawkins
1995,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg,"The Golden Compass (His Dark Materials, #1) Philip Pullman"
1847,"Emily Brontë, Richard J. Dunn",Wuthering Heights,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Wuthering Heights Emily Brontë, Richard J. Dunn"
2004,Jodi Picoult,My Sister's Keeper,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg,My Sister's Keeper Jodi Picoult
1969,Kurt Vonnegut Jr.,Slaughterhouse-Five,4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg,Slaughterhouse-Five Kurt Vonnegut Jr.
1936,Margaret Mitchell,Gone with the Wind,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg,Gone with the Wind Margaret Mitchell
2007,Khaled Hosseini,A Thousand Splendid Suns,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg,A Thousand Splendid Suns Khaled Hosseini
1999,Stephen Chbosky,The Perks of Being a Wallflower,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg,The Perks of Being a Wallflower Stephen Chbosky
2012,Veronica Roth,"Insurgent (Divergent, #2)",4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg,"Insurgent (Divergent, #2) Veronica Roth"
1985,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg,"Ender's Game (Ender's Saga, #1) Orson Scott Card"
1818,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg,"Frankenstein Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle"
1977,Stephen King,The Shining (The Shining #1),4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg,The Shining (The Shining #1) Stephen King
2008,Stephenie Meyer,"The Host (The Host, #1)",3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg,"The Host (The Host, #1) Stephenie Meyer"
2005,John Green,Looking for Alaska,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg,Looking for Alaska John Green
1996,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,https://images.gr-assets.com/books/1292060045m/227443.jpg,"Bridget Jones's Diary (Bridget Jones, #1) Helen Fielding"
1811,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg,"Sense and Sensibility Jane Austen, Tony Tanner, Ros Ballaster"
1998,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg,"Holes (Holes, #1) Louis Sachar, Louis Sachar"
2003,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Devil Wears Prada (The Devil Wears Prada, #1) Lauren Weisberger"
1914,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg,"The Odyssey Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox"
1946,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg,"The Little Prince Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta"
2005,Jeannette Walls,The Glass Castle,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg,The Glass Castle Jeannette Walls
1996,Jon Krakauer,Into the Wild,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg,Into the Wild Jon Krakauer
1859,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg,"A Tale of Two Cities Charles Dickens, Richard Maxwell, Hablot Knight Browne"
1990,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Jurassic Park (Jurassic Park, #1) Michael Crichton"
1964,Shel Silverstein,The Giving Tree,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg,The Giving Tree Shel Silverstein
1989,John Grisham,A Time to Kill,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A Time to Kill John Grisham
1958,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg,"Night (The Night Trilogy #1) Elie Wiesel, Marion Wiesel"
2008,John Green,Paper Towns,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg,Paper Towns John Green
1973,William Goldman,The Princess Bride ,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg,The Princess Bride  William Goldman
1967,S.E. Hinton,The Outsiders,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg,The Outsiders S.E. Hinton
2009,James Dashner,"The Maze Runner (Maze Runner, #1)",4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg,"The Maze Runner (Maze Runner, #1) James Dashner"
2005,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1) Steven D. Levitt, Stephen J. Dubner"
1911,Frances Hodgson Burnett,The Secret Garden,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg,The Secret Garden Frances Hodgson Burnett
1967,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,4.04,https://images.gr-assets.com/books/1327881361m/320.jpg,"One Hundred Years of Solitude Gabriel García Márquez, Gregory Rabassa"
1891,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg,"The Picture of Dorian Gray Oscar Wilde, Jeffrey Eugenides"
2012,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg,"Fifty Shades Freed (Fifty Shades, #3) E.L. James"
1897,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg,"Dracula Bram Stoker, Nina Auerbach, David J. Skal"
2006,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg,"The Girl Who Played with Fire (Millennium, #2) Stieg Larsson, Reg Keeland"
2011,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg,"Fifty Shades Darker (Fifty Shades, #2) E.L. James"
1998,Barbara Kingsolver,The Poisonwood Bible,4.02,https://images.gr-assets.com/books/1412242487m/7244.jpg,The Poisonwood Bible Barbara Kingsolver
2000,David Sedaris,Me Talk Pretty One Day,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Me Talk Pretty One Day David Sedaris
1963,Maurice Sendak,Where the Wild Things Are,4.22,https://images.gr-assets.com/books/1384434560m/19543.jpg,Where the Wild Things Are Maurice Sendak
1844,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,4.21,https://images.gr-assets.com/books/1309203605m/7126.jpg,"The Count of Monte Cristo Alexandre Dumas, Robin Buss"
2006,Cormac McCarthy,The Road,3.95,https://images.gr-assets.com/books/1439197219m/6288.jpg,The Road Cormac McCarthy
2013,Veronica Roth,"Allegiant (Divergent, #3)",3.63,https://images.gr-assets.com/books/1395582745m/18710190.jpg,"Allegiant (Divergent, #3) Veronica Roth"
2011,Tina Fey,Bossypants,3.94,https://images.gr-assets.com/books/1481509554m/9418327.jpg,Bossypants Tina Fey
1999,Nicholas Sparks,A Walk to Remember,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg,A Walk to Remember Nicholas Sparks
2000,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,https://images.gr-assets.com/books/1327872404m/9416.jpg,"Confessions of a Shopaholic (Shopaholic, #1) Sophie Kinsella"
1862,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,4.14,https://images.gr-assets.com/books/1411852091m/24280.jpg,"Les Misérables Victor Hugo, Lee Fahnestock, Norman MacAfee"
1998,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,https://images.gr-assets.com/books/1358254974m/10572.jpg,"A Clash of Kings  (A Song of Ice and Fire, #2) George R.R. Martin"
2005,Kim Edwards,The Memory Keeper's Daughter,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Memory Keeper's Daughter Kim Edwards
2012,Jojo Moyes,"Me Before You (Me Before You, #1)",4.27,https://images.gr-assets.com/books/1357108762m/15507958.jpg,"Me Before You (Me Before You, #1) Jojo Moyes"
1961,Joseph Heller,Catch-22,3.98,https://images.gr-assets.com/books/1463157317m/168668.jpg,Catch-22 Joseph Heller
1997,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,4.06,https://images.gr-assets.com/books/1423763749m/6900.jpg,"Tuesdays with Morrie Mitch Albom, Saulius Dagys"
2002,Jeffrey Eugenides,Middlesex,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg,Middlesex Jeffrey Eugenides
1876,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,3.89,https://images.gr-assets.com/books/1404811979m/24583.jpg,"The Adventures of Tom Sawyer Mark Twain, Guy Cardwell, John Seelye"
1962,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,https://images.gr-assets.com/books/1329061522m/18131.jpg,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1) Madeleine L'Engle"
1989,Amy Tan,The Joy Luck Club,3.9,https://images.gr-assets.com/books/1304978653m/7763.jpg,The Joy Luck Club Amy Tan
1985,Margaret Atwood,The Handmaid's Tale,4.06,https://images.gr-assets.com/books/1498057733m/38447.jpg,The Handmaid's Tale Margaret Atwood
2001,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,https://images.gr-assets.com/books/1461611233m/452306.jpg,"The Sisterhood of the Traveling Pants (Sisterhood, #1) Ann Brashares"
1955,"Vladimir Nabokov, Craig Raine",Lolita,3.88,https://images.gr-assets.com/books/1377756377m/7604.jpg,"Lolita Vladimir Nabokov, Craig Raine"
1995,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,https://images.gr-assets.com/books/1437733293m/37442.jpg,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1) Gregory Maguire, Douglas Smith"
1991,John Grisham,"The Firm (Penguin Readers, Level 5)",3.99,https://images.gr-assets.com/books/1418465200m/5358.jpg,"The Firm (Penguin Readers, Level 5) John Grisham"
2010,Emma Donoghue,Room,4.03,https://images.gr-assets.com/books/1344265419m/7937843.jpg,Room Emma Donoghue
1600,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,4,https://images.gr-assets.com/books/1351051208m/1420.jpg,"Hamlet William Shakespeare, Richard Andrews, Rex Gibson"
1965,Frank Herbert,Dune (Dune Chronicles #1),4.19,https://images.gr-assets.com/books/1434908555m/234225.jpg,Dune (Dune Chronicles #1) Frank Herbert
2000,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92,https://images.gr-assets.com/books/1473396980m/2612.jpg,The Tipping Point: How Little Things Can Make a Big Difference Malcolm Gladwell
2011,Walter Isaacson,Steve Jobs,4.09,https://images.gr-assets.com/books/1327861368m/11084145.jpg,Steve Jobs Walter Isaacson
1962,Ken Kesey,One Flew Over the Cuckoo's Nest,4.18,https://images.gr-assets.com/books/1485308778m/332613.jpg,One Flew Over the Cuckoo's Nest Ken Kesey
1952,Ernest Hemingway,The Old Man and the Sea,3.73,https://images.gr-assets.com/books/1329189714m/2165.jpg,The Old Man and the Sea Ernest Hemingway
1939,John Steinbeck,The Grapes of Wrath,3.92,https://images.gr-assets.com/books/1352912927m/4395.jpg,The Grapes of Wrath John Steinbeck
2003,Mitch Albom,The Five People You Meet in Heaven,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Five People You Meet in Heaven Mitch Albom
1908,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Anne of Green Gables (Anne of Green Gables, #1) L.M. Montgomery"
2009,Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",4.34,https://images.gr-assets.com/books/1369452339m/3777732.jpg,"City of Glass (The Mortal Instruments, #3) Cassandra Clare"
2000,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,https://images.gr-assets.com/books/1497931121m/62291.jpg,"A Storm of Swords (A Song of Ice and Fire, #3) George R.R. Martin"
1996,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,3.79,https://images.gr-assets.com/books/1408313524m/137791.jpg,Divine Secrets of the Ya-Ya Sisterhood Rebecca Wells
1991,Diana Gabaldon,"Outlander (Outlander, #1)",4.2,https://images.gr-assets.com/books/1402600310m/10964.jpg,"Outlander (Outlander, #1) Diana Gabaldon"
1850,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,3.37,https://images.gr-assets.com/books/1404810944m/12296.jpg,"The Scarlet Letter Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym"
2011,Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,https://images.gr-assets.com/books/1472782916m/9460487.jpg,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1) Ransom Riggs"
2007,"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,https://images.gr-assets.com/books/1327708260m/6892870.jpg,"The Girl Who Kicked the Hornet's Nest (Millennium, #3) Stieg Larsson, Reg Keeland"
2012,Andy Weir,The Martian,4.39,https://images.gr-assets.com/books/1413706054m/18007564.jpg,The Martian Andy Weir
1989,Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Pillars of the Earth (The Kingsbridge Series, #1) Ken Follett"
2014,Anthony Doerr,All the Light We Cannot See,4.31,https://images.gr-assets.com/books/1451445646m/18143977.jpg,All the Light We Cannot See Anthony Doerr
2010,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,https://images.gr-assets.com/books/1327861115m/8664353.jpg,"Unbroken: A World War II Story of Survival, Resilience, and Redemption Laura Hillenbrand"
2001,Dan Brown,Deception Point,3.67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Deception Point Dan Brown
2013,Donna Tartt,The Goldfinch,3.87,https://images.gr-assets.com/books/1451554970m/17333223.jpg,The Goldfinch Donna Tartt
2007,Jay Asher,Thirteen Reasons Why,4.02,https://images.gr-assets.com/books/1333822506m/1217100.jpg,Thirteen Reasons Why Jay Asher
1999,Tracy Chevalier,Girl with a Pearl Earring,3.85,https://images.gr-assets.com/books/1327197580m/2865.jpg,Girl with a Pearl Earring Tracy Chevalier
2009,Gayle Forman,"If I Stay (If I Stay, #1)",3.96,https://images.gr-assets.com/books/1347462970m/4374400.jpg,"If I Stay (If I Stay, #1) Gayle Forman"
1997,Anita Diamant,The Red Tent,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Red Tent Anita Diamant
2006,Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,https://images.gr-assets.com/books/1400602661m/28186.jpg,"The Sea of Monsters (Percy Jackson and the Olympians, #2) Rick Riordan"
2006,Nicholas Sparks,Dear John,4.01,https://images.gr-assets.com/books/1397749854m/5526.jpg,Dear John Nicholas Sparks
2008,Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",4.21,https://images.gr-assets.com/books/1432730356m/1582996.jpg,"City of Ashes (The Mortal Instruments, #2) Cassandra Clare"
